,Property_Type,Area,Status,Floor,Transaction_Type,Property_Furnishing,Direction_Facing,Description,Price,Price_per_sqft
0,2 BHK ,550 sqft,Ready to Move,3 out of 4,New Property,Semi-Furnished,East,"Ready to Move Flats Home Loan Facility Registry Builder Floor For Sale in uttam nagar::::::::?? Furnished three bedroom set with dinning hall::::?? Reserved Car Parking & Lift facility with power backup::::?? Complete Modern Washroom fittings & Modular kitchen with chimney::::?? Fancy lights in all rooms, latest false ceiling & POP design::::?? Camera, screen, intercom and Heavy electronic door lock facility.::::?? Upto 90 Home Loan available from NBFC’S bank India bulls, IIHFL, ICICI Home Finance, LIC, IDFC, Hero Finance, Baja Finance etc::::?? Separate electric and water connections with appropriate Supply",₹24 Lac,₹4000 per sqft
1,1 BHK ,400 sqft,1 out of 4,New Property,Semi-Furnished,East,Main Road,"Very Good property near to market. All facilities are available nearby. Carefully laid out in the prime location of Mahavir Enclave Part 1 in New Delhi, this spacious 1 BHK flat on sale is a meticulously planned project. It gives a comfortable environment for the entire family with a carpet area of 400 square feet. The building consists of 4 floors, and this apartment on floor number 1 is for sale. This flat has 1 lovely bedrooms which includes an outstanding master bedroom. This beautiful flat on sale comes with 1 balconies which are great for relaxation, reading or enjoying the view. There are 1 bathrooms for the residents' convenience. The flat comes with well-built marble flooring that adds more chic to the entire house. This 1 BHK flat on sale is bundled with well-designed 1 covered car parking space for the comfort of the residents. This apartment is well situated facing east. It overlooks the main road which adds to the charm of living here. This flat for sale is the perfect property for you! This under construction flat in Mahavir Enclave Part 1 is available for a reasonable price of INR 23 Lac. The flat is semi-furnished and is suitable for any family size. Mahavir Enclave Part 1, New Delhi - Dwarka, Delhi NCR is the postal address of this flat that is up for sale.",₹23 Lac,₹5111 per sqft
2,2 BHK ,550 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,Uttam Nagar Floors,"Uttam Nagar Floors is one of the popular residential projects that is located in Uttam Nagar, Delhi. This project offers 1, 2 and 3 BHK with basic amenities for the comfort of residents. It is close to market and many educational institutions.",₹23 Lac,₹4182 per sqft
3,2 BHK ,600 sqft,Ready to Move,2 out of 5,New Property,Semi-Furnished,South - East,"this property near by main road and near by DLF farms and also near by metro station Chhatarpur and Qutab metro station. Chhattarpur, New Delhi has an attractive 2 BHK Flat for sale. It gives a comfortable environment for the entire family with a carpet area of 600 square feet. The flat is available for sale on 2 floor. It is part of a smartly planned complex with the building having a total of 5 floors. This 2 BHK flat on sale is strategically designed and comes with 2 bedrooms, which are cozy & pleasing for any family. All 1 balconies are structured such a way that they provide proper sunlight and ventilation. There are 2 bathrooms, that are adorned with high-quality fixtures. The sturdy ceramic tiles flooring is durable and long lasting. This 2 BHK flat on sale comes with space of 1 covered car parking for your vehicle. The apartment is facing the south - east which adds more value for its inhabitants. It has an added advantage as it overlooks the main road. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! This apartment ready to move in the Chhattarpur is available for an attractive price of INR 35 Lac. The flat is uniquely designed to enhance the living style. It is semi-furnished, studded with all the basic facilities. Prominent landmarks in and around this locality are this is near by asian university and also near by good grocery stores. The address of this wonderful 2 BHK flat for sale is Chhattarpur, New Delhi - South, Delhi NCR.",₹35 Lac,₹5385 per sqft
4,3 BHK ,890 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North,"This lovely 3 BHK Flat in Mohan Garden, Razapur Khurd, New Delhi is up for sale. It offers the entire family a comfortable space with a carpet area of 890 square feet. The building has total 4 floors and this spacious apartment for sale is on floor number 1. This flat has 3 bedrooms, which resonate with modern elegance. This beautiful flat on sale comes with 2 balconies which are great for relaxation, reading or enjoying the view. There are 2 bathrooms for the convenience of the habitants. The flat offers a sturdy flooring of vitrified for more durability. This 3 BHK apartment comes with 1 covered parking space for your vehicle. The flat is positioned facing the north. It overlooks the main road which adds to its appeal. This is one of the best properties available for sale. This ready to move flat in Mohan Garden, Razapur Khurd is available for a reasonable price of INR 35.5 Lac. This semi-furnished house is strategically designed with all the amenities to enhance the living experience. Prominent landmarks in and around this locality are near dwarka mor metro station. Visit 3 BHK flat for sale at Mohan Garden, Razapur Khurd, New Delhi - West, Delhi NCR.",₹35.5 Lac,₹3902 per sqft
5,3 BHK ,700 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,Bharat Luxury Homes,3BHK Builder Floor in Uttam Nagar::::fully furnished one bedroom set with one dinning hall::::Freehold Property::::Reserved Parking::::Ample space for visitor parking::::Bathroom with modern facilities::::Complete lights in all room::::Wooden Almirah in bedroom::::Separate Electric and water meter connection::::Separate Water Tank at roof.::::Electronic door lock system with Intercom facility,₹35 Lac,₹5000 per sqft
6,2 BHK ,65 sqyrd,Ready to Move,3 out of 8,New Property,Semi-Furnished,East,"2bhk This beautiful 2 BHK Flat is available for sale in Dwarka Sector 14, New Delhi. The apartment sprawls a carpet area of 65 square feet and flaunts a unique style. The flat is on floor number 3 and the building has a total of 8 floors. This 2 BHK flat on sale is strategically designed and comes with 2 bedrooms, which are cozy & pleasing for any family. The 1 balconies offers a nice view and free airflow into the flat. There are 2 bathrooms, all fitted with modular bathroom accessories. The apartment faces the east giving it a certain advantage. Your hunt for the perfect apartment for sale comes to an end here. This apartment in one of the significant areas of Dwarka Sector 14 is ready to move, and can be purchased at the best price of INR 35 Lac. The apartment is semi-furnished. This 2 BHK flat boasts of being in close proximity to significant landmarks like old that enhance the overall living experience. The 2 BHK flat for sale is located at Dwarka Sector 14, New Delhi - Dwarka, Delhi NCR.",₹35 Lac,₹5556 per sqft
7,3 BHK ,800 sqft,Ready to Move,Ground out of 4,New Property,Semi-Furnished,East,3bhkbuilderfloorapartmentfreeholdpropertywithregistry80loanfacilitywithliftwithcarparking3bhksemi-FurnishedflooravailableFallceilinginallroomswalltexturewardrobswallequipmentItfeaturesthebestdesignstandardswhichgiveyoutheexperienceofluxuryQualityandworkmanshipItpromisescompleteprivacyandisdesignedtogiveyouthefreedomtogrowflourishandenjoyalifestyleinanenvironmentwhichspellsclassineverysquare,₹40 Lac,₹4444 per sqft
8,1 BHK ,400 sqft,Ready to Move,New Property,Unfurnished,Partap Homes,1,"Partap Homes are one of the popular residential project located in Uttam Nagar, Delhi. This project offers 1, 2, 3, 4 BHK bedroom builder floor with basic amenities for the comfort of residents. It is close to market and many educational institutions.",₹17 Lac,₹4250 per sqft
9,2 BHK ,500 sqft,Ready to Move,3 out of 4,New Property,Semi-Furnished,North - East,"Its 2 BHK flat available for sale in Munirka with attached 1 bathroom, modular kitchen, balcony, with the registry, false ceiling done in all rooms and drawing room, wooding work done in the complete flat, excellent interior, more details contacts",₹38 Lac,₹6496 per sqft
